Word,Definition
Tukupara,"1.n. One of the sacred ovens used for the people in general at ceremonial feasts.Mo te katoa tena umu, te tukupara.2.v.t. Put such an oven in use.No muri mai katahi ka tukupara, ka tunu i te nuinga o te manu, ko te tukupara tena.'"
Tukuperu,"n. 1.Gobicephala melaena, black-fish.2.A person of uninviting appearance.3.A kind of black mussel.'"
Tukupoto,"1.v.t. Shorten. Kei tohu te makau ka pau te whakarau, te tukupototia aku rangi ki te noho (M. 31).2.Hasten. Kia tukupototia te tinana, te puareinga ki taku matua (S. 51).3.a. Short.4.n. The short side of a pa.'"
Tukupū,"tukipū1.a. Coming down on all sides. He ua tukupu.2.Overcast, lowering. Tukupu ana te rangi. —Ahakoa tukipu te rangi i te kohu.3.Covering completely, spread over. He moko tukupu.—A me whakairo te mata o taua tiki, kia moko tukupu. E ua ana te ua, tukupu te pouri ki te moana (W.M. x, 303).4.General, widespread. Titiro ki nga tohu o te marino tukupu (W.M. viii, 110).5.n. A fish.'"
Tukupunga,v.t. Drown. He mea tukupunga te tangata na e Tiemi.'
Tukurangi,n. A charm to cause a flood.'
Tukurenga,n. Choice fern root.'
Tukurere,n. An insect.'
Tukuroa,"1.n. Back stay of the sail of a canoe.2.a. Ill-supplied.  He tau tukuroa, a season of famine; but in some places the sense of the word is the opposite: well-supplied, plentiful.  '"
Tukurua,"1.v.t. Repeat an operation, do a second time. Me tukurua nga moko kia mangu ai.2.n. Balls of kokowai (red ochre) which have been badly baked and require to be rebaked.'"
Tukutahi,"1.a. Together, simultaneous. Haere ra, e Karu, i te riri hunuhunu, i te riri tukutahi (M. 341). Ka haere ai koe i te whana tukutahi (S. ii, 82).2.n. Simultaneous rush. Korero i o tohu te kura-takai-puni, te toka tu moana, i te tukutahi whakarere (M. 29).'"
Tukutahua,"a. Offered as food. I moimoia ake te kuri, tukutahuatia hei utu mo nga hanga a Te Riupawhara (M. 228).'"
Tukutata,"a. Short, direct, of a path. He akua roa ano tera, he tukutata tenei. = pokatata'"
Tukuturi,Kia tu mai koe i mua i te upoko i te whana tukuturi i te nui Ati Tahu (M. 69). Kihai i tukuturi kia tangohia atu i te mata o te taorora (M. 128). '
Tukuwaru,"tukuarun. Posts of intermediate size in the palisading of a pa, between the himu, and, unlike them, not carved, but shaped into a knob at the top. Ka kurukuru ratou, kaore e pa, rere ke ki runga i te tukuwaru o te pa noho ai.'"
Tūmā,"n. 1.Odd number in excess. Kotahi rau, tuma, o te taua. E rua tekau, a raua tamariki, tokotoru nga tuma (W. i, 142).   E rua mano ma wha, hokorima te tuma (Four thousand nine hundred).2.The twelfth month of the Maori year. = Haratua'"
Tuma,"1.v.t. Challenge. I tuma takitahi a Te Purewa raua ko Te Waha-kai-kapua. Ka ki raua, me noho te tokomaha; ko raua anake e riri.2.n. Abscess, any hard swelling in the flesh. whakatuman. Anger. tumatumaa. Quarrelsome. whakatumatumav.i. Act defiantly. Na reira ano ka whakatumatuma; te tohetohe ki te whakatuma, “Na wai hoki koe i ki, a, hei tango i toku kainga?” (T. 79).'"
Tūmaeo,a. Lazy.'
Tūmahana,"n. 1.Return present for a kaihaukai, given at the same time. Nau te kokomo, he tumahana taku (P.).2.A gift of food sent to a party of visitors to meet them shortly before their arrival. (Tr. xxxv, 104)'"
Tūmāhoehoe,"tūmārōhoehoea. 1.Vertical, high, of the sun. Ka mea atu a Ngatoro, “Hei waho na tau mai ai; e kore hoki e pai te whawhai i te po, engari mo te ata, kia whawhai ai i te ra tumarohoehoe” (M. xxi).2.Summer, torrid (applied to heat). E rahi te tarauma hei riri mo te waru tumahoehoe see tūhoa'"
Tumahu,"a. Healed, convalescent.'"
Tumakuru,"n. Fear, apprehension. No whea ra e angaia i te tirohanga kino i te tumakuru? (M. 25).   (Perhaps a slip for tumatakuru, which appears in another version of the song.)'"
Tūmanako,"v.t. 1.Regard any absent object with favour or desire.Tumanako tonu te ngakau ki te mea i kiia mai moku.Used especially in reference to a greedy anticipation of game to be caught by others (J. vii, 133). He tumanako te koura i kore ai (P.). 2.Expect. E tumanako ana ki te putanga mai o te taua.3.Hope.'"
Tūmāngai,"n. A kind of incantation. Nga ingoa o nga karakia he puni, he wero taniwha, he tumangai, he aha, he aha (T. 154).'"
Tūmārō,"a. Hard, solid.'"
Tūmārōhoehoe, see tūmāhoehoe'
Tūmaru,"a. Shady. Kia haere ki te wahi e tumaru iho ana i te rakau. Taku rata tumaru ka hinga i a Whiro (S. ii, 58).'"
Tūmata,"v.t. Set on fire, burn. He umu ti tē tumatatia.—Kia ata tumata i te ahi koi wera te whare.'"
Tūmatahuki,"tūmatakahukīn. Upright rods between the posts of a native house, for supporting the laths to which the reeds are fastened. (J. v, 150–51) = tautari'"
Tūmatakihau,tumatahuki'
Tumatakuru,"1.n. Discaria toumatou, a thorny shrub. Kia whakangungua koe ki te kahikatoa, ki te tumatakuru, ki te tara ongaonga (S. 9).2. Aciphylla squarrosa, spear-grass.3.A kind of rough sandal and legging combined.4.v.i. Show consternation, be apprehensive. Me te kaia hopukia, tumatakuru ana (P.). Ka wiri, ka whero te taha o nga whatu, ka ruru nga pakihiwi; koia te tumatakuru.'"
Tūmatanui,"a. Open, public, without disguise.'"
Tūmatapōngia,"n. A charm to render a person invisible to the enemy ‖ J. xi, 53.'"
Tūmatarau,"a. Stingy, covetous, miserly (applied to one always watchful for his own interests). Kaore e ware ona kanohi, ka titiro tonu atu ki nga mahinga a ethai tangata, koina te tumatarau, tona tino tikanga he matapiko.—Ka mahi au i aku kai, ka haere tonu atu au ki te titiro mehemea kua riro atu i nga wahine kia taona atu ma te tangata, he tumatarau tena.'"
Tūmatarehurehu,"n. The ills resulting from infringing tapu in connection with war; or possibly a personification of such ills. Kaua e aroarorua, kei ngaua koe e Tumatarehurehu ‖ J. vi, 48; xi, 48.'"
Tūmatatenga,"a. 1.Apprehensive, anxious. He tumatatenga noku ki a koutou.2.Sulky.3.Overcome with grief. Ko te pouri kei roto, ko te tumatatenga kei waho; na reira hoki i kitea ai e te tangata kei te pouri.'"
Tūmatawarea,"n. A charm to make one invisible to one''s foes (J. xi, 53. )'"
Tūmatawhāiti,a. Apprehensive or in doubt as to whether one is being adequately supported in battle see kohera'
Tūmatohi,"a. 1.Erect.2.Watchful, on the alert. Kia tumatohi; mo te huaki rawa mai, kua rite see matohi3.In close order, of marching, etc. Kia tumatohitia te haere ki Puke-i-Haumu (S.).'"
Tūmau,"tūmou1.a. Fixed, constant, permanent. Te muri aroha ki to tau tumau (M. 24). Kei Wairau ia kei Waiharakeke ka tumau atu (Sh.T. 259). Na konei hoki a Tane i tumou tonu atu ai ki runga ki te rangi (W. i, 142).2.Continuous. Ka rere, ka tae ki te kainga, ka tumau te tangi a nga manu (W, ii, 131).3.n. Slave, servant, cook. Ka ki atu te whaea o Maui ki nga pononga, “Tikina he ahi i a Mahuika.” E kore e rongo nga tumau (T. 23).4.The victim slain at the opening of a new house or at the tūātanga of a child.'"
Tume,"a. Slow, dilatory, Ma te tau e kite mai taku kinonga, ma te tau e kite mai taku tumenga (M. 403)   <refer>Fu.</refer> tume.'"
Tumeke,v.i. Take fright. E kore au e tumeke i o korero whakawehiwehi mai see meke (i)'
Tumere,"n. A weapon of war like a mere, but made of hard wood.'"
Tūmingi,"n. Cyathodes juniperina, Leucopogon fasciculatus, Epacris pauciflora, and Gaultheria sp., shrubs.'"
Tūmōhāhā,a. Happening late in the day. = tūhāhā'
Tūmoremore,"a. Shorn of external appendages. Tumoremore kau ana te rakau, kahore he hiako see more (i)'"
Tumoto,n. A virulent song chanted as revenge for some injury or defeat. He tumoto na Hine-i-turama mo Te Urewera.'
Tumou,tumau'
Tūmū,"1.n. Promontory, headland.Ka tae atu ki runga atu, ka kite ia i te tumu whenua e takoto ana i waho. Tumu whakarae, fig., chief. Ka haere te pipi aihe, ka noho te tumu whakarae (P.).  2.a. Contrary, of wind. He hau tumu.3.v.i. Go against the wind, work to wind ward.'"
Tūmū,"1.n. Stump. Ko te tumu herenga waka (P. 61).2.Pole of a pewa bird snare. = ti haere(Tr. xlii, 470.)3.Stake used for marking bounds of fishing grounds at Rotorua. Ka makere atu ia ki te wai; ka tae mai ki te tumu a tona matua, a Umukaria, kei waho i te moana, ko Hinewhata te ingoa; ka mau ona ringa ki reira, ka whakata i tona manawa (T. 132).4.Quarter-staff, pike. Na ka rere mai ia, kua eke kei runga kei te tumu a Whakatau, ka mate tera toa (T. 60).5.Trunk, headless body.6.Main post in the palisading of a pa. = himu7.Foundation.8.Field of battle.9.Bed of mussels, etc. Me te tumu kuku te tokomaha.10.a. High, of the tide. He tai tumu. = timu tumutumun. 1.Stump, post, etc.2.A charm used in snaring birds, etc. whakatumutumua. Heaped up, standing up. Ka whakatumutumu nga kapua.'"
Tumu,"v.i. 1.Halt suddenly. Kauaka tumutumu te kura i Awarua (J. ix, 201).2.Twitch, start. Tumu ana te waewae, he kowhera; he aitua.3.Coo, grunt. Ka whakatika katoa ki te titiro; ara e noho iho ana; otira i rangona ki te tumu, i tino kitea ai (T. 16).'"
Tumua,"Ka tuahia whakarauoratanga o o tamariki? Ka tuatahi, ka tuarua, ka tuatoru; ko te tuawha tenei tumua, waiho tumua, waiho tumua tonu ki te ahi tapu. '"
Tumuaki,"n. 1.Crown of the head. Taupoki ana mai taku kumete i runga i te tumuaki e Tako (M. 282).2.Head, president.'"
Tumurua,a. Done a second time. He tumurua te moko. (Said of one who was completely tattooed.)'
Tumuruki,a. Blunt.'
Tumuwhenua,"a. In the expression ahi tumuwhenua, a sacred fire and rite connected with Tane, i.e., tree felling. Ko te ahi tumuwhenua, ki nga atua tena.—Ko tumuwhenua te ingoa o te ahi o te maramara tuatahi.'"
Tuna,"n. Anguilla dieffenbachii, the long-finned, and Anguilla austrails, the short-finned freshwater eels, and their varieties.Kua kaheko te tuna i roto i aku ringaringa (P. 63). Note: Nearly a hundred distinctive Maori names are recorded without clue to scientific status, which depends on dorsal-fin length rather than colour of the eel.  Tuna heke, migrating eel (both species migrate to spawn in deep sea);  tuna kaingara, yellowish variety of eel (Whang.), Gymnothorax prasinus, a salt-water eel = puharakeke;  tuna kohau, mud eel (Whang.);  tuna korokoro, Geotria australis, lamprey = piharau, nganangana;  tuna kuia, variety of eel; tuna ngahuru, variety of eel with large blue and gold eyes (Whang.);  tuna pa, variety of eel;  tuna paranui, a black eel; tuna pou, large-headed eel, not eaten (tapu);  tuna reko, light-coloured eel (Whang.);  tuna rere, tuna riri, blue-black eel with blue eyes and large pectorals = putaiore;  tuna pouaru, female of large variety of eel = kokopu;  tuna tuoro, variety of eel (Whang.).   Tuna-roa, fig., the earth. Kihai koe i rehea i te hikanga o Tunaroa (S.).  tūtunan. 1.A large variety of inanga. E tere te tutuna, e tere te wawa na roto te wai (M. 183).2.East Coast name for tuna riki, small eel.'"
Tunaeke,"n. A sandstone used for grinding stone implements. He hoanga tetehi, he tunaeke tetehi, koinei nga kohata e rua.'"
Tunahi,a. Wrapped up. E haere tunahi ana te tangata.'
Tūnaua,"v.i. Stare, look steadily.'"
Tunawhea,"a. III-grown, thin, lean see kunawhea'"
Tunehe, (Ar.) = tunewha'
Tunewha,"v.i. Close the eyes as when overcome with sleep, be drowsy. Kia mate ai to ure tunewha i te awatea. tūnewhanewhaa. Asleep, of a whipping top. E taia ana au e te mate, kai te potaka tunewhanewha ka taia ka haere, ka anewhanewha (S.). see newha'"
Tūnohunohu,n. Old man or woman.'
Tunou,"v.i. Bend, bow. = tungou tunotunouv.i. Bend or bow repeatedly, as in planting potatoes. E peka nei taua ki tahaki, e tunotunou ki tona taiawa (S.) (M. 172, Ms.)'"
Tunu,"v.t. 1.Roast, broil. Ko ta Tainui i tunua ki te ahi kia hohoro ai te maroke (T. 75).   Tunua nga riwai ki te ahi.2.Inspire with fear. Na reira ano i tunu ake, e ki ana he matua tangata (T. 101). tunutunu1.a. Faint-hearted, afraid. Tunutunu ana te whakaaro o te tangata.2.v.t. Roast. Tunutunu mākai, tunutunu mākaikai, keep eating portions of food while it is cooking; Figuratively, to make frequent raids on an enemy''s country to procure fresh meat. '"
Tunuhuruhuru,"1.v.t. Do violence to, ill-treat, a friend or connection; offend, injure.2.a. Hasty, quarrelsome. He tangata tunuhuruhuru.'"
Tunui,"n. In the expressions tunui a te ika, tunui ki te po, tunui me to pe, and tunui a rangi, used of a comet or meteor, regarded as the visible presentment of an atua. Ko Tunui a te ika, he atua patu tangata tenei. Tunui ki te po, whitia mai ki te ao na (M. 369). Tunui ki te ka oho au (M. 235) (M. 342).'"
Tūnga, see tū (iii-v)'
Tunga,"1.n. Larva of Prionoplus reticularis, a grub found in decayed wood. With Tuhoe the grub is tunga haere or tunga rakau, and the developed insect tunga rere. = huhu2.Decayed tooth, toothache. Also called tunga raupapa.3.a. Decayed, aching, of a tooth. He niho tunga.4.Worm-eaten, rotten, of timber. He rakau ka tunga au (S.).'"
Tunga,"v.t. Send. Tungaia tetahi tangata ki te tiki. tungatungav.i. Beckon, make signs. I a Manaia e Tungatunga atu ana ki tana tamaiti tupu (T. 119).'"
Tungāne,"n. Brother or male cousin, of a female. I a Hinauri ano e ngaro atu ana i tona kainga tupu ka noho nei tona tungane, a Rupe, ka maharahara kia a ia (T. 32).'"
Tūngāngā,v.i. Be out of breath see ngā'
Tungangi,"n. A bivalve mollusc (Chione stutchburyi). = tuangi whakatungangi He ara whakatungangi, a stile. '"
Tūngarangara,"a. Fatigued, wearied see turanga (i)'"
Tūngarahu, see ngarahu'
Tūngaroa,"n. Back part of a native house. Ka wahia i te tungaroa hei ara whakaputanga mo te tamaiti ki waho (T. 52). Ko te ruahine ki te matapihi whakarongo ai ki te taua e tawai mai ra ki a raua, ko te koroheke, ko Ngatoro, i te tungaroa (T. 92).'"
Tūngauru,"n. A platform, in the stern of a canoe, reserved for persons of importance.'"
Tungawiri,v.i. Shiver. wiri (i).'
Tungehe,"v.i. Quail, be alarmed. E kore au e tungehe.'"
Tungi,"tutungiv.t. Set a light to, kindle, burn. Pass, tūngia. Ko te ahi tena i tungia ai, ka wera i reira nga toa a Maihirangi (M. 417). Tungia te ururua, kia tupu whakaritorito te tupu o te harakeke (P. 93). Ka tino kitea te turi ka wera i te ahi, i te tunginga i to wai puha (M. 248). tungitungi1.v.t. Kindle.2.n. A sacred oven in connection with crops.'"
Tungongo,v.t Cause to shrink. He hauauru te hau e tungongo i aku kino (S. 104) see tingongo'
Tungou,"v.i. Nod, beckon. Ka karanga atu ano a Rua, “Ko uta koe ?” Ka tungou mai a Paikea (W. iii, 20).   E tungou mai ana te tangata ra ki a taua. whakatungouv.t. Bow down, overcome. Kaore hoki koia taku raru e whakatungou nei (M. 143). tūngoungoun. Chrysalis of Sphinx convolvuli, a large moth.'"
Tungu,"v.t. Kindle. = tungi tungutunguv.t. Rekindle. Ka tungutungu a Mahuika i tana ahi (Tr. vii, 38).'"
Tungure,a. Blunt'
Tūnguru,"a. 1.Worn away by friction, blunted.2.Having lost one''s influence. Ka tungurutia maua ki te titiro mai a te tangata.'"
Tūngutu,"v.t. Set on fire, burn. Kei te tungutu a Te Waru i tana waerenga.—Ka tungutu a Mahuika i tana ahi (Tr. vii, 38). Riri tungutu, close combat. Koe riri tungutu kei o matua (M. 338).    tūngutungutuv.t. Put together the sticks of a fire. Tungutungutua nga mounga.'"
Tūohu,"v.i. 1.Stoop, bow the head. E tuohu tonu ana ahau, koia ahau te kite ai.2.Skulk, keep close. E tuohu mai nei i roto i tona whare, i tona whare.3.Cower, crouch. Ka tuohu ia, ka toia mai ki waho (T. 38).4.Sway, of trees. Ko te aitanga a Tane e tuohu i uta ra (S.). tuohungan. House, dwelling place. Ka riro ranei i a koe te tuohunga o te kaumatua ? see ohu (ii)'"
Tūoi,"a. 1.Thin, lean. He kararehe tuoi, e kore e kainga.2.Frail, weak. He tuoi noa te taiepa. whakatūoiv.t. Overpower, dishearten.Kaore hoki taku raru e whakatuoi nei (S.).'"
Tūōkura,tūākuran. Dicksonia squarrosaand D. lanata; tree ferns. = wheki'
Tuoma,"v.i. Hasten, run. Naku i tuoma ki te mahi ma roto (S.) see oma'"
Tuone,"v.i. Gesticulate while making a speech. (Tar.) Na i a ia e tuone ana ka pa mai te mate ki a ia, ka hinga, mate tonu iho.'"
Tuora,"n. A rite to secure well-being for a newborn child, etc. Ka whanau te tamaiti, ka heria e te tohunga ki te wai, ka tuoratia, ara ka karakiatia kia ora tonu taua tamaiti.'"
Tuota,"1.n. A charm to ensure the securing of game.He tapu tenei kaha a Tuota.2.v.i. Recite the tuota charm.Mehemea ka tuota, me whangai i te atua.'"
Tuoro,"n. A fabulous monster (called also tuna tuoro), which was said to bark like a dog, and attack human beings; it could make its way underground ‖ Wai. 31. He tuna tuoro, ka rangona te tau o te tuoro. = tioro'"
Tūpā,"tipā1.a. Dried up, rough, hard. Huri atu Takirau kei nga whenua tupatia mai e te hau whakarua (M. cx).2.Unfruitful, barren. He karaka tupa.3.Flat, level. Ko nga kuka (toi) hai hukahuka, kaore ena e patua, kaore e pai kia maru a waho, engari kia tupa tonu, ara kia paraharaha, kia kaua e kopa ‖ Tr. xxxi, 623.4.n. Notovola novaezelandiae and other scallops, bivalve molluscs. Taku kiri i whakararatia ki te anga tupa (M. 217).5.A white edible fungus which grows on trees.6.Chant, song. He tupa waka (A song for launching a canoe).'"
Tupa,"1.n. Spring of a trap. Tangi mai te tupa ka ronarona i taku kaki (M. 234)2.v.i. Start, turn sharply aside.3.Escape. tupatupa = tupa 2+3'"
Tūpahipahi,n. Sandspit.'
Tūpahupahu,"a. Vaunting, blustering. He ahakoa te hanga tupahupahu o te Maori see rupahu, tupehu'"
Tūpākākā,"a. Scorched, parched. Ka karangatia, kua tupakaka.'"
Tūpakarearea,"a. Dark, Lowering.'"
Tūpaki,"1.a. Fair, without rain. Ka nui te roa o te tupakitanga, o te korenga e ua see paki2.n. Slope of a hill see aupaki3.A snare for ground birds, consisting of a noose operated by a spring of supplejack. Ko te weka he tupaki te patu o tena, he tawhiti. = hupaki tūpakipakia. Small. He whare tupakipaki.'"
Tūpākihi,"n. Coriaria arborea, a shrub. = taweku, tutu'"
Tupaku,"a. Wasted, weak, listless. Ka takoto ki te whare, ka tupakutia au (W.M. xi, 57). tūpāpakun. 1.Corpse. Erangi ko nga tupapaku i tanumia ki te rua (T. 155).2.Sick person, invalid, sufferer. Ka ora te tupapaku i tenei karakia (M. 209).   Ka whakawaia te tupapaku ana taia ki te moko, ka waiatatia kei rongo i te mamae o te uhi.3.One intended to be killed. Katahi ka tahuri ki te tupe i te tupapaku; na, kua ngoikore te tupapaku, heoiti ano ka mau (T. 119).'"
Tupana,"1.v.i. Spring up, recoil. Ka tupana ake te rakau ra (W. ii, 160).2.v.t. Jerk, fillip. tūpanapanav.i. Vibrate, keep on twitching. Ki te mea ka tupanapana te io i te ringa ranei, i te waewae ranei (W. ii, 4). see pana'"
Tupangarua,a. Rough. Mo taku kiri ra ka tupangaruatia (M. 256).'
Tūpaoe,"1.n. Voices heard singing at night, either supernatural, or of persons travelling, when they are supposed to be under the influence of a wairua; in either case regarded as an aitua. (J. vii, 127)2.v.i. Sing while travelling at night. Ha! he tupaoe te tangata ra.—Ko wai tena e tupaoe haere nei i te huarahi? (J. vii, 127)'"
Tūpapahū,v.i. Resound. Tupapahu ana te whenua i te takahanga a te tangata see pahū'
Tūpāpaku, see tupaku'
Tūpararā,"n. Violent wind. Ko tuparara, ko tutakangahau, he hau nunui enei.—Ko tenei hau ko tuparara, he paeroa see pararā'"
Tūpare,"1.n. Chaplet, garland. Whatiia mai he kowhai hei tupare see pare (i)2. Olearia colensoiand other species, shrubs.3.v.t. Shade the eyes with the hand.'"
Tūparehua,"tūparengahuan. Steep bank, cliff. Koi taka koe, he tuparengahua te wahi na see pare (ii)'"
Tupari,"n. Cliff, precipice. Piri ana iara me he paua whare piri ki te tupari maunga (M. 289).   He horo ki tupari maunga, he hewa ki te tangata kotahi (P.). tūpariparia. Precipitous, with perpendicular face. He whenua tuparipari enei whenua (W.M. x, 102). see pari'"
Tupari,"n. Blechnum capense, a fern. = horokio, kiokio, korokio, piupiu. Tupari maunga, Gahnia xanthocarpa, a plant.'"
Tūparu,tūparuparuv.t. Attach the outer covering of raupo to the frame of the walls of a house see paru (ii)'
Tupata,"n. A thick-leaved variety of karengo, an edible seaweed (Porphyra columbina).'"
Tūpātiu,n. North-west wind.'
Tūpato,"a. 1.Cautious. Otira kua tupato te iwi o Hinemoa ki nga waka (T. 132).2.Suspicious. Ka tupato ki te mahi maminga tonu a taua wahine (T. 12). whakatupatov.t. Warn, caution, put a person on his guard.'"
Tūpē,"n. A receptacle for game. Ko nga tupe kiore, ko nga tapatahi inanga me nga tapatahi porohe hei poapoa mo Kahu kia tatanga mai ai.'"
Tūpē,"whakatūpēv.t. Frighten by shouting at. Nana te whanako i Kaihinu ra, e; ka whakatupetia, rere noa i te pari ki Otutauira, e, whatiwhati ana iwi (M. 105).'"
Tupe,"1.n. A charm for depriving one''s enemies of power, and arresting their weapons, (M. 366.)2.v.t. Affect by the tupe charm. Katahi ka tahuri ki te tupe i te tupapaku; na, kua ngoikore te tupapaku, heoti ano ka mau (T. 119).   Katahi ka tupea e raua nga teka a taua iwi.3.Deprive of power. (J. xii, 157).'"
Tūpeha,"tipeha, tupehatauan. Angry talk, wrangling. He tupeha-taua ka rangona e te tini (M. 68).'"
Tupehau,v.t. Do clumsily. I tupehaukia noatia te whakairo.'
Tupehau,"n. 1.Porch of a house.2.Cloak, cape.'"
Tupehu,"a. Angry, blustering. Haere tupehu ana te tangata.—Ko etahi e marama ana te haere o te kupu, ko etahi i tupehu noa atu see tupahupahu whakatūpehupehuv.i. Become angry, rage, bluster.'"
Tūpeke,"1.v.i. Jump, leap see peke2.n. War dance.3.A hairy caterpillar, larva of Nyctemera annulata, the magpie moth. tūpekepekev.i. Jump about, hop about, of birds. Ki kona koutou tupekepeke ai, kapokapo kau ai o koutou ringaringa, i (M. 123). Ka koa ratou, ka tupekepeke (W. vi, 21).'"
Tupenu,"a. Smashed, reduced to pulp see penu (ii)'"
Tūpere,"1.v.i. Put out the lips, pout. Kia tupere te ngutu.2.v.t. Ejaculate. Kaore au e tupere atu, “Tena koe.”3.n. Pudenda muliebria.4.A small shark.5.A bivalve mollusc. = matakahi6.Celmisia lindsayi, a plant. tūperepere1.a. Boisterous. He marangai tuperepere.2.Vigorous, as the growth of plants.3.n. Pure ceremony, with feasting, on housing the kumara crop.Ko taua hei te marae, taua tahi ai; he tuperepere na toku iwi.'"
Tūpererū,"1.v.i. Whirr.2.Bluster. Tena ko te tupereru mai o Te Waru ki te taua nei, kiano i ea.3.n. Coturnix novaesealandiae, quail; from the whirring noise it made when put up. = kareke, koitareke, tareke, tawaka whakatūpererūv.i. Make a whirring noise with the lips. see pereru'"
Tūpiki,"v.i. Climb. Tangi te kokiri a te ope ra ki te pa, tupiki tonu te ope nei (J. ii, 229) see piki'"
Tupiki,v. Bind securely. I tupikitia nga ringa.'
Tūpiki,"I tokona ki tawhiti te puke i a Kamiaka, whakarongo tupiki, whakahinga nga rewa te anganga ki te tonga (S.). Noho ana hoki au i te kei o te waka nou, e Ropu, hei tupiki noa (Pi. 142, 2). '"
Tūpini,tūpunin. A dogskin mat.'
Tūpō,"1.n. III omen, particularly in reference to dreams of that nature. Ko te aroakapa, tona hangaitanga o tenei kupu he tupo; ko te tupo he mate, he aitua.2.a. Dank, gruesome. Kaua e whakaangahia te waha o te rua ki te ra to; he rua tupo, he pirau. Rua tupo, (a) a cave in which the bones of the dead are deposited after the flesh has decayed; (b) a hole in the ground over which incantations were performed for the purpose of destroying one''s enemies see rua haeroa, haeroa'"
Tupoho,n. Consolation. Kia riro ana mai ko te popo taku kai hei tupoho ake mo te wahine e tangi auare nei (S.).'
Tūpoki,"1.v.t. Cover.2.v.i. Overturn, capsize. Ka tupoki te waka (M. 25).3.n. Covering, lid. see poki'"
Tupona,"v.t. Tie in a knot. Ka ki atu te waha o te tuakana, “Homai ki a au etahi karetu nei.” Ka tuponakia e rua (Tr. vii, 51) see pona'"
Tūpono,"v.t. Light upon accidentally, chance to hit. Tupono pu te rakau ki te kanohi o te tamaiti. Tupono atu ki te riri, whati ana te hoariri (W. iv, 49).'"
Tūpōporo,v.i. Be overturned.'
Tūpore,v.t. Treat kindly. Tupore rangi tahi; whakatakariri kei raurangi (P.).'
Tuporo,"n. Block, short log, billet. I koparu te waewae maui i te tuporo kauri see poro'"
Tuporo,"v.i. Sing while travelling; to do so being an aitua. He tuporo i te po, he waiata haere i te po, he aitua (J. vii, 127), where tuporo seems to apply to the daylight.'"
Tūpou,"1.v.i. Bow the head, stoop down. Ka tuturi nga turi ki tana wai heru, ka wewete i tona tikitiki, ka ru i ana makawe, ka tupou ki roto ki te wai (T. 55).2.Fall or throw oneself headlong.3.Dive.4.Rush, of current. Katahi ka tirohia, no te mea ano ka kaha te tupou o te ia; katahi ka karanga atu te toi whenua, “Kua tupou te ia, whakamatauria.” Katahi ka haere atu ki te tupouranga, katahi ka tukua tetahi parirau, ka tatu, kaore i riro mai (J. ii, 148).5.a. Steep. Ko te wahi pai tena mo te awa, e tupou atu na hoki.6.ad. Headlong, head first. Ka rere tupou te waka ra (T. 72).7.n. An aitua in weaving.Mehemea ka moe ahau i te po, ka kitea e au te kakahu o taua wahine e iri ana, ka kiia tena he aroakapa, he tupou, ara he aitua (J. vii, 129). tūpoupou1.v.i. Bow frequently; pitch, as a canoe.2.n. Cephalorhynchus hectori, porpoise.3.Relatives watching round a corpse.4.Serious illness.5.A small net for taking fresh-water fish.6.a. Seriously ill.'"
Tupu,"1.v.i. Grow, increase. E tupu tonu mai nei ano te kumara i te pari o taua whenua (T. 74).2.Spring, issue, begin. Ka tupu te whawhai a taua pa ki nga tangata o Awhitu (T. 166).   Ka tupu te whana.3.Be firmly fixed. Tupu tonu te pou nei.4.n. Shoot, bud.5.Growth.6.Social position. Kua heke tona tupu (He has degenerated). Whakaheke tupu, treat with indignity. He iwi kino te iwi nei; he iwi whaka-heke tupu tangata (T. 141).7.a. Genuine, own. I a Manaia e tungatunga atu ana ki tana tama tupu (T. 119). tupuriapass. Be overgrown. E tangi ana ki tona whenua, ka tuouria nei e te maheuheu (M. 312). whakatupu1.v.t. Cause to grow, rear, cherish.Kaua e whakatupu wehewehe i roto i a tatou (T. 12).2.Assume the character or appearance of, make oneself like. Katahi ka whakatupu kuri te tangata ra.3.n. A garment of dyed flax. whakatupurangan. Generation. Ko tenei korero no te whakatupuranga o nga tupuna o te tangata maori (T. 30). tuputupun. 1.Shoot, sprout. Polack gives tuputupu as a name for mangrove, but probably was misled by this sense.2.A cloak of flax. Nga koroai, nga tatata, nga tuputupu, nga topuni, nga huru, nga kakahu o namata o nga rangatira (W. v, 76).'"
Tupua,"tipua1.n. Goblin, demon, object of terror, taniwha, etc. Ka tae ki te tino wahi i noho ai te tupua nei, a Hotupuku (T. 150).2.One versed in magic arts, tohunga. Te whakarongonga atu te ati tupua, te whakarongonga atu te ati tawhito (K.).3.Foreigner. A tiaia koe ki te manu o tawhiti, te manu a te tupua (M. 109).4.Strange sickness.5.a. Strange. Ka rongo Taweke i aku rongo tupua hei paki ki te whare (M. 18).6.v.t. Steal, kidnap. Ka rotua te whare e nga wahine ra, ka whakamoea, kia moe, kia tupuatia ai a Kae e ratou (T. 37). whakatupuan. A fish.'"
Tūpuhi,"1.n. Gale, storm. He tupuhi tenei; e kore tatou e puta.2.a. Thin, lean. He tupuhi te kiore.3.Inactive, sluggish. Kati me he tupuhi (Be no longer inactive).'"
Tupuke,"v.t. Earth up crops, etc.'"
Tupuku,"v.t. Place food in a basket for cooking in an earth oven. Ko te harore he mea tupuku ki te kete, katahi ka tao ki te hangi.'"
